Consecutivo;Razón Social del cliente;Marca;Modelo Técnico;Tipo de Receptor;País de Fabricación;Código de Certificado;Fecha de Emisión;Alcance
97;Esto es un ejemplo S.A;LG;42PG6910-ZF;Full-seg;China;TVD-97-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
98;Esto es un ejemplo S.A;LG;50PG1000-ZA;Full-seg;Estados Unidos;TVD-98-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
99;Esto es un ejemplo S.A;LG;50PG100R-ZA;Full-seg;Japón;TVD-99-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
100;Esto es un ejemplo S.A;LG;50PG2000;Full-seg;Corea del Sur;TVD-100-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
101;Esto es un ejemplo S.A;LG;50PG200R-ZA;Full-seg;China;TVD-101-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
102;Esto es un ejemplo S.A;LG;50PG20C-UA;Full-seg;Estados Unidos;TVD-102-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
103;Esto es un ejemplo S.A;LG;50PG20D-AA;Full-seg;Japón;TVD-103-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
104;Esto es un ejemplo S.A;LG;50PG20-UA;Full-seg;Corea del Sur;TVD-104-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
105;Esto es un ejemplo S.A;LG;50PG25-UA;Full-seg;China;TVD-105-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
106;Esto es un ejemplo S.A;LG;50PG3000-ZA;Full-seg;Estados Unidos;TVD-106-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
107;Esto es un ejemplo S.A;LG;50PG30FD-AA;Full-seg;Japón;TVD-107-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
108;Esto es un ejemplo S.A;LG;50PG30F-UA;Full-seg;Corea del Sur;TVD-108-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
109;Esto es un ejemplo S.A;LG;50PG3500-ZA;Full-seg;China;TVD-109-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
110;Esto es un ejemplo S.A;LG;50PG4000-ZA;Full-seg;Estados Unidos;TVD-110-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
111;Esto es un ejemplo S.A;LG;50PG4500-ZA;Full-seg;Japón;TVD-111-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
112;Esto es un ejemplo S.A;LG;50PG6000-ZA;Full-seg;Corea del Sur;TVD-112-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
113;Esto es un ejemplo S.A;LG;50PG6010;Full-seg;China;TVD-113-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
114;Esto es un ejemplo S.A;LG;50PG60F-UA;Full-seg;Estados Unidos;TVD-114-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
115;Esto es un ejemplo S.A;LG;50PG60F-UG;Full-seg;Japón;TVD-115-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
116;Esto es un ejemplo S.A;LG;50PG60-UA;Full-seg;Corea del Sur;TVD-116-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
117;Esto es un ejemplo S.A;LG;50PG60UD-AA;Full-seg;China;TVD-117-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
118;Esto es un ejemplo S.A;LG;50PG6300;Full-seg;Estados Unidos;TVD-118-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
119;Esto es un ejemplo S.A;LG;50PG6500-ZA;Full-seg;Japón;TVD-119-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
120;Esto es un ejemplo S.A;LG;50PG6900-ZF;Full-seg;Corea del Sur;TVD-120-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
121;Esto es un ejemplo S.A;LG;50PG6910;Full-seg;China;TVD-121-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
122;Esto es un ejemplo S.A;LG;50PG7000-ZB;Full-seg;Estados Unidos;TVD-122-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
123;Esto es un ejemplo S.A;LG;50PG70FD-AB;Full-seg;Japón;TVD-123-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
124;Esto es un ejemplo S.A;LG;50PG70F-UB;Full-seg;Corea del Sur;TVD-124-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
125;Esto es un ejemplo S.A;LG;50PG7500;Full-seg;China;TVD-125-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
126;Esto es un ejemplo S.A;LG;60PG3000-ZA;Full-seg;Estados Unidos;TVD-126-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
127;Esto es un ejemplo S.A;LG;60PG30FC-UA;Full-seg;Japón;TVD-127-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
128;Esto es un ejemplo S.A;LG;60PG30FD-AA;Full-seg;Corea del Sur;TVD-128-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
129;Esto es un ejemplo S.A;LG;60PG30F-UA;Full-seg;China;TVD-129-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
130;Esto es un ejemplo S.A;LG;60PG60F-UA;Full-seg;Estados Unidos;TVD-130-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
131;Esto es un ejemplo S.A;LG;60PG7000-ZB;Full-seg;Japón;TVD-131-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
132;Esto es un ejemplo S.A;LG;60PG70FD-AB;Full-seg;Corea del Sur;TVD-132-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
133;Esto es un ejemplo S.A;LG;60PG70F-UB;Full-seg;China;TVD-133-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
134;Esto es un ejemplo S.A;Zenith;Z42PG10-UA;Full-seg;Estados Unidos;TVD-134-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
135;Esto es un ejemplo S.A;Zenith;Z50PG10-UA;Full-seg;Japón;TVD-135-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
136;Esto es un ejemplo S.A;Sansui;HDLCD2600;Full-seg;Corea del Sur;TVD-136-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
137;Esto es un ejemplo S.A;Sansui;HDLCD3200;Full-seg;China;TVD-137-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
138;Esto es un ejemplo S.A;Sansui;HDLCD3700;Full-seg;Estados Unidos;TVD-138-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
139;Esto es un ejemplo S.A;Sansui;SANSUI;Full-seg;Japón;TVD-139-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
140;Esto es un ejemplo S.A;Sansui;SANSUI;Full-seg;Corea del Sur;TVD-140-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
141;Esto es un ejemplo S.A;Sansui;SANSUI;Full-seg;China;TVD-141-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
142;Esto es un ejemplo S.A;Sansui;SANSUI;Full-seg;Estados Unidos;TVD-142-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
143;Esto es un ejemplo S.A;Sansui;SANSUI;Full-seg;Japón;TVD-143-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
144;Esto es un ejemplo S.A;Sansui;SANSUI;Full-seg;Corea del Sur;TVD-144-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
145;Esto es un ejemplo S.A;Sansui;SANSUI;Full-seg;China;TVD-145-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
146;Esto es un ejemplo S.A;Sansui;SANSUI;Full-seg;Estados Unidos;TVD-146-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
147;Esto es un ejemplo S.A;Panasonic;TC-26LX85;Full-seg;Japón;TVD-147-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
148;Esto es un ejemplo S.A;Panasonic;TC-32LX85;Full-seg;Corea del Sur;TVD-148-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
149;Esto es un ejemplo S.A;Panasonic;TC-32LZ800;Full-seg;China;TVD-149-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
150;Esto es un ejemplo S.A;Panasonic;TC-37LZ800;Full-seg;Estados Unidos;TVD-150-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
151;Esto es un ejemplo S.A;Panasonic;TC-37LZ85;Full-seg;Japón;TVD-151-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
152;Esto es un ejemplo S.A;Panasonic;TH-42PX80U;Full-seg;Corea del Sur;TVD-152-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
153;Esto es un ejemplo S.A;Panasonic;TH-42PZ800U;Full-seg;China;TVD-153-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
154;Esto es un ejemplo S.A;Panasonic;TH-42PZ80U;Full-seg;Estados Unidos;TVD-154-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
155;Esto es un ejemplo S.A;Panasonic;TH-42PZ85U;Full-seg;Japón;TVD-155-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
156;Esto es un ejemplo S.A;Panasonic;TH-46PZ800U;Full-seg;Corea del Sur;TVD-156-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
157;Esto es un ejemplo S.A;Panasonic;TH-46PZ80U;Full-seg;China;TVD-157-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
158;Esto es un ejemplo S.A;Panasonic;TH-46PZ85U;Full-seg;Estados Unidos;TVD-158-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
159;Esto es un ejemplo S.A;Panasonic;TH-50PX80U;Full-seg;Japón;TVD-159-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
160;Esto es un ejemplo S.A;Panasonic;TH-58PZ800U;Full-seg;Corea del Sur;TVD-160-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
161;Esto es un ejemplo S.A;Panasonic;TH-58PZ850U;Full-seg;China;TVD-161-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
162;Esto es un ejemplo S.A;Panasonic;TH-65PZ850U;Full-seg;Estados Unidos;TVD-162-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
163;Esto es un ejemplo S.A;Panasonic;TH-C42FD18;Full-seg;Japón;TVD-163-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
164;Esto es un ejemplo S.A;Panasonic;TH-C42HD18;Full-seg;Corea del Sur;TVD-164-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
165;Esto es un ejemplo S.A;Panasonic;TH-M50HD18;Full-seg;China;TVD-165-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
166;Esto es un ejemplo S.A;PANASONIC;TH-46PZ850U;Full-seg;Estados Unidos;TVD-166-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
167;Esto es un ejemplo S.A;PANASONIC;TH-50PE8U;Full-seg;Japón;TVD-167-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
168;Esto es un ejemplo S.A;PANASONIC;TH-50PZ850U;Full-seg;Corea del Sur;TVD-168-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
169;Esto es un ejemplo S.A;PANASONIC;TH-C50FD18;Full-seg;China;TVD-169-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
170;Esto es un ejemplo S.A;PANASONIC;TH-C50HD18;Full-seg;Estados Unidos;TVD-170-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
171;Esto es un ejemplo S.A;Magnavox;19MD358B/F7;Full-seg;Japón;TVD-171-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
172;Esto es un ejemplo S.A;Magnavox;19MF338B/F7;Full-seg;Corea del Sur;TVD-172-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
173;Esto es un ejemplo S.A;Magnavox;42MF438B/F7;Full-seg;China;TVD-173-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
174;Esto es un ejemplo S.A;Magnavox;52MF438B/F7;Full-seg;Estados Unidos;TVD-174-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
175;Esto es un ejemplo S.A;Philips;19PFL3403D/F7;Full-seg;Japón;TVD-175-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
176;Esto es un ejemplo S.A;Philips;32PFL3403D/F7;Full-seg;Corea del Sur;TVD-176-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
177;Esto es un ejemplo S.A;Philips;32PFL5403D/F7;Full-seg;China;TVD-177-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
178;Esto es un ejemplo S.A;Philips;42PFL3403D/F7;Full-seg;Estados Unidos;TVD-178-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
179;Esto es un ejemplo S.A;Philips;42PFL3603D/F7;Full-seg;Japón;TVD-179-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
180;Esto es un ejemplo S.A;Philips;42PFL5603D/F7;Full-seg;Corea del Sur;TVD-180-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
181;Esto es un ejemplo S.A;Philips;42PFL7403D/F7;Full-seg;China;TVD-181-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
182;Esto es un ejemplo S.A;Philips;42PFL7603D/F7;Full-seg;Estados Unidos;TVD-182-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
183;Esto es un ejemplo S.A;Philips;42TA648BX/F7;Full-seg;Japón;TVD-183-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
184;Esto es un ejemplo S.A;Philips;47PFL3603D/F7;Full-seg;Corea del Sur;TVD-184-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
185;Esto es un ejemplo S.A;Philips;47PFL5603D/F7;Full-seg;China;TVD-185-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
186;Esto es un ejemplo S.A;Philips;47PFL7403D/F7;Full-seg;Estados Unidos;TVD-186-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
187;Esto es un ejemplo S.A;Philips;47PFL7603D/F7;Full-seg;Japón;TVD-187-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
188;Esto es un ejemplo S.A;Philips;52PFL3603D/F7;Full-seg;Corea del Sur;TVD-188-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
189;Esto es un ejemplo S.A;Philips;52PFL5603D/F7;Full-seg;China;TVD-189-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
190;Esto es un ejemplo S.A;Philips;52PFL7403D/F7;Full-seg;Estados Unidos;TVD-190-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
191;Esto es un ejemplo S.A;Pioneer;Flat Panel TV;Full-seg;Japón;TVD-191-2021;20/5/21;Cumple con lo establecido en el Reglamento Técnico RTCR 456:2011 Receptores ISDB-Tb y Antenas de Televisión. Características técnicas básicas aplicables para el estándar ISDB-Tb en Costa Rica.
